time,close
2009/04/29,207.27 
2009/04/30,219.22 
2009/05/04,226.64 
2009/05/05,221.28 
2009/05/06,236.53 
2009/05/07,253.01 
2009/05/08,262.49 
2009/05/11,262.49 
2009/05/12,268.67 
2009/05/13,268.67 
2009/05/14,262.08 
2009/05/15,267.44 
2009/05/18,266.20 
2009/05/19,267.02 
2009/05/20,269.50 
2009/05/21,288.04 
2009/05/22,304.94 
2009/05/25,293.40 
2009/05/26,273.62 
2009/05/27,292.57 
2009/06/01,288.86 
2009/06/02,279.39 
2009/06/03,286.80 
2009/06/04,296.69 
2009/06/05,293.81 
2009/06/06,305.76 
2009/06/08,319.77 
2009/06/09,304.94 
2009/06/10,325.95 
2009/06/11,324.72 
2009/06/12,310.70 
2009/06/15,289.28 
2009/06/16,273.21 
2009/06/17,267.85 
2009/06/18,272.79 
2009/06/19,282.27 
2009/06/22,285.98 
2009/06/23,276.09 
2009/06/24,281.45 
2009/06/25,284.33 
2009/06/26,285.98 
2009/06/29,283.10 
2009/06/30,285.98 
2009/07/01,293.40 
2009/07/02,298.34 
2009/07/03,300.82 
2009/07/06,309.06 
2009/07/07,324.30 
2009/07/08,318.12 
2009/07/09,329.66 
2009/07/10,330.90 
2009/07/13,321.42 
2009/07/14,343.67 
2009/07/15,346.56 
2009/07/16,347.38 
2009/07/17,344.50 
2009/07/20,344.50 
2009/07/21,343.26 
2009/07/22,346.14 
2009/07/23,346.97 
2009/07/24,346.14 
2009/07/27,365.92 
2009/07/28,376.64 
2009/07/29,351.91 
2009/07/30,348.62 
2009/07/31,346.56 
2009/08/03,341.61 
2009/08/04,334.61 
2009/08/05,331.31 
2009/08/06,337.90 
2009/08/10,351.56 
2009/08/11,373.53 
2009/08/12,369.65 
2009/08/13,369.65 
2009/08/14,367.93 
2009/08/17,351.56 
2009/08/18,336.91 
2009/08/19,336.91 
2009/08/20,333.03 
2009/08/21,318.39 
2009/08/24,333.90 
2009/08/25,328.29 
2009/08/26,320.54 
2009/08/27,324.85 
2009/08/28,342.94 
2009/08/31,344.67 
2009/09/01,359.75 
2009/09/02,360.18 
2009/09/03,358.45 
2009/09/04,359.31 
2009/09/07,360.61 
2009/09/08,362.76 
2009/09/09,349.84 
2009/09/10,344.67 
2009/09/11,343.80 
2009/09/14,347.68 
2009/09/15,348.97 
2009/09/16,353.28 
2009/09/17,347.68 
2009/09/18,349.41 
2009/09/21,349.41 
2009/09/22,347.25 
2009/09/23,361.90 
2009/09/24,357.59 
2009/09/25,362.76 
2009/09/28,357.59 
2009/09/29,358.88 
2009/09/30,363.62 
2009/10/01,363.62 
2009/10/02,358.45 
2009/10/05,359.31 
2009/10/06,354.14 
2009/10/07,342.08 
2009/10/08,334.33 
2009/10/09,338.63 
2009/10/12,337.77 
2009/10/13,337.77 
2009/10/14,339.50 
2009/10/15,344.67 
2009/10/16,344.67 
2009/10/19,344.67 
2009/10/20,345.53 
2009/10/21,339.50 
2009/10/22,325.71 
2009/10/23,320.97 
2009/10/26,323.56 
2009/10/27,337.77 
2009/10/28,331.74 
2009/10/29,329.59 
2009/10/30,326.57 
2009/11/02,326.57 
2009/11/03,319.25 
2009/11/04,328.29 
2009/11/05,327.00 
2009/11/06,324.85 
2009/11/09,327.43 
2009/11/10,333.46 
2009/11/11,334.33 
2009/11/12,333.46 
2009/11/13,333.90 
2009/11/16,333.90 
2009/11/17,328.29 
2009/11/18,329.16 
2009/11/19,331.74 
2009/11/20,327.43 
2009/11/23,327.43 
2009/11/24,328.29 
2009/11/25,329.59 
2009/11/26,339.07 
2009/11/27,330.88 
2009/11/30,332.60 
2009/12/01,334.33 
2009/12/02,330.88 
2009/12/03,342.51 
2009/12/04,358.45 
2009/12/07,361.90 
2009/12/08,366.21 
2009/12/09,366.21 
2009/12/10,356.73 
2009/12/11,361.04 
2009/12/14,357.59 
2009/12/15,358.45 
2009/12/16,367.07 
2009/12/17,365.35 
2009/12/18,361.90 
2009/12/21,357.59 
2009/12/22,358.45 
2009/12/23,355.01 
2009/12/24,352.85 
2009/12/25,355.01 
2009/12/28,358.02 
2009/12/29,360.61 
2009/12/30,363.62 
2009/12/31,362.76 
2010/01/04,358.45 
2010/01/05,351.99 
2010/01/06,351.13 
2010/01/07,345.53 
2010/01/08,342.51 
2010/01/11,343.80 
2010/01/12,346.39 
2010/01/13,344.67 
2010/01/14,353.28 
2010/01/15,359.31 
2010/01/18,366.21 
2010/01/19,350.70 
2010/01/20,356.30 
2010/01/21,352.42 
2010/01/22,347.68 
2010/01/25,351.99 
2010/01/26,336.91 
2010/01/27,344.24 
2010/01/28,359.31 
2010/01/29,359.31 
2010/02/01,351.13 
2010/02/02,355.87 
2010/02/03,367.07 
2010/02/04,370.52 
2010/02/05,355.87 
2010/02/06,355.01 
2010/02/08,355.01 
2010/02/09,352.42 
2010/02/10,356.73 
2010/02/22,361.04 
2010/02/23,370.09 
2010/02/24,362.76 
2010/02/25,360.61 
2010/02/26,356.30 
2010/03/01,364.48 
2010/03/02,364.92 
2010/03/03,365.35 
2010/03/04,363.19 
2010/03/05,363.19 
2010/03/08,369.65 
2010/03/09,367.93 
2010/03/10,377.41 
2010/03/11,373.96 
2010/03/12,375.69 
2010/03/15,380.43 
2010/03/16,383.44 
2010/03/17,380.86 
2010/03/18,387.75 
2010/03/19,386.89 
2010/03/22,383.87 
2010/03/23,384.30 
2010/03/24,380.86 
2010/03/25,373.96 
2010/03/26,379.13 
2010/03/29,381.29 
2010/03/30,392.92 
2010/03/31,411.45 
2010/04/01,414.03 
2010/04/02,411.01 
2010/04/06,436.00 
2010/04/07,423.94 
2010/04/08,412.31 
2010/04/09,419.63 
2010/04/12,414.46 
2010/04/13,409.72 
2010/04/14,422.22 
2010/04/15,424.80 
2010/04/16,429.97 
2010/04/19,430.83 
2010/04/20,423.94 
2010/04/21,419.63 
2010/04/22,429.11 
2010/04/23,442.90 
2010/04/26,443.76 
2010/04/27,448.07 
2010/04/28,445.48 
2010/04/29,446.34 
2010/04/30,448.07 
2010/05/03,452.37 
2010/05/04,445.48 
2010/05/05,416.18 
2010/05/06,421.35 
2010/05/07,442.90 
2010/05/10,445.48 
2010/05/11,436.00 
2010/05/12,426.96 
2010/05/13,438.59 
2010/05/14,443.76 
2010/05/17,441.17 
2010/05/18,437.73 
2010/05/19,426.52 
2010/05/20,414.46 
2010/05/21,406.28 
2010/05/24,417.05 
2010/05/25,414.03 
2010/05/26,414.89 
2010/05/27,419.20 
2010/05/28,442.90 
2010/05/31,456.68 
2010/06/01,450.65 
2010/06/02,446.34 
2010/06/03,454.10 
2010/06/04,453.24 
2010/06/07,446.34 
2010/06/08,444.62 
2010/06/09,433.42 
2010/06/10,435.14 
2010/06/11,448.07 
2010/06/14,451.51 
2010/06/15,452.37 
2010/06/17,442.03 
2010/06/18,452.37 
2010/06/21,459.27 
2010/06/22,459.27 
2010/06/23,457.54 
2010/06/24,465.30 
2010/06/25,457.54 
2010/06/28,452.37 
2010/06/29,455.82 
2010/06/30,444.62 
2010/07/01,450.65 
2010/07/02,441.17 
2010/07/05,471.33 
2010/07/06,470.47 
2010/07/07,490.29 
2010/07/08,498.90 
2010/07/09,489.43 
2010/07/12,489.43 
2010/07/13,506.66 
2010/07/14,513.55 
2010/07/15,504.07 
2010/07/16,485.98 
2010/07/19,479.09 
2010/07/20,497.18 
2010/07/21,483.39 
2010/07/22,494.60 
2010/07/23,516.14 
2010/07/26,509.24 
2010/07/27,505.80 
2010/07/28,502.35 
2010/07/29,529.06 
2010/07/30,527.34 
